Metadata_hour,Metadata_treatment,ImageNumber,ObjectNumber,reduced_feature
4,A,22,1,0.953953864147944
4,A,22,2,-0.660336790240648
4,A,22,3,0.19112126160742204
4,A,22,4,-0.6689227509257039
4,A,22,5,-0.5424850554069668
4,A,22,6,0.6779573113366515
4,A,22,7,0.7065673858059823
4,A,22,8,0.6190726422810129
4,A,23,1,0.8078113649917561
4,A,23,2,0.740828920490378
4,A,23,3,0.5824396090936353
4,A,23,4,0.8615900628848795
4,A,24,1,0.8288315581605292
4,A,24,2,0.7333530611049711
4,A,24,3,0.6841189521151675
4,A,24,4,0.686950757820384
4,A,24,5,0.6588394611097662
4,A,25,1,0.4512613875127024
4,A,25,4,-0.7046480658881275
4,A,25,5,0.4895153240448929
4,A,25,6,0.43784894365815724
4,A,25,7,0.14461999991370936
4,A,25,8,0.8388566156342266
4,A,25,9,0.8440832827675574
4,A,25,10,0.40447602781321346
4,A,26,1,0.9206404575693946
4,A,26,2,0.9311821666166468
4,A,26,3,0.8165717848258605
4,A,26,4,-0.8505629116297784
4,A,26,5,0.6278438745262738
4,A,26,6,0.7063611783659896
4,A,26,7,0.9749223649922745
4,A,27,1,0.7407594195083463
4,A,27,2,0.4148892522076878
4,A,27,3,0.42154735890527906
4,A,27,4,0.6076847909440186
4,A,27,5,0.7349606053674137
4,A,27,6,0.7431097191104158
4,A,27,7,-0.8783186927294668
4,A,27,8,0.677128924854196
4,A,27,9,0.42029085345882794
4,A,28,1,0.7435778120090778
4,A,28,2,0.8744375713667633
4,A,28,3,0.6133214371480328
4,A,28,4,0.6785196229554328
4,A,28,5,0.6980730949956242
4,A,29,2,-0.10583560658140896
4,A,29,3,0.7043066864738311
4,A,29,4,0.617829862473114
4,A,29,5,-1.3578772267243067
4,A,29,6,0.5858516239720437
4,A,29,7,0.18454499598190666
4,A,30,1,0.9604081306296217
4,A,30,2,0.9674724271332538
4,A,30,3,0.9706409631474604
4,A,30,4,1.1544821030987507
6,A,31,1,0.5451839265326688
6,A,31,2,0.6604304220349569
6,A,31,3,0.7331850451691735
6,A,31,4,0.012391802926875937
6,A,31,5,0.4640933772578002
6,A,31,6,-0.33367136153048654
6,A,31,7,-2.6737374581147675
6,A,31,8,-0.02499134412281111
6,A,32,1,0.5967245001668973
6,A,32,2,0.40364940251471565
6,A,32,3,0.4940488710296795
6,A,32,4,0.4715071624552605
6,A,33,1,0.48776604745109725
6,A,33,2,0.6334313189487896
6,A,33,3,0.06085822075243016
6,A,33,4,0.6213401450654797
6,A,34,1,0.6210589597679724
6,A,34,2,-0.88900864946933
6,A,34,3,0.5575250746483826
6,A,34,4,0.588544323556514
6,A,34,6,-0.1352318200198426
6,A,35,1,0.5701853413505605
6,A,35,2,0.3731558415683009
6,A,35,3,0.807129204917285
6,A,35,4,0.2826598863372572
6,A,35,5,0.386822548731476
6,A,35,6,0.47453998515163914
6,A,35,7,0.6221996288675521
6,A,35,8,-0.8445339296207963
6,A,36,1,0.5059857925314695
6,A,36,2,-0.6334952574317669
6,A,36,3,0.510548483848327
6,A,36,4,0.4256691459629859
6,A,36,5,-0.11412254766274217
6,A,36,6,0.6484423273543573
6,A,36,7,0.5851857485441683
6,A,37,1,0.2131754146641633
6,A,37,2,0.12414903598616395
6,A,37,3,-1.5232927160909486
6,A,37,5,0.6071627669539819
6,A,38,1,0.4832927724177732
6,A,38,2,-0.27580743143756475
6,A,38,3,-0.815313415453939
6,A,39,1,0.6209520757917925
6,A,39,2,0.5306596728823652
6,A,40,1,0.42422142658013107
6,A,40,2,0.6414849795216714
6,A,40,3,0.7248194660919594
6,A,40,4,0.2943754572280503
6,A,40,5,0.5930639874730781
