Metadata_hour,Metadata_treatment,ImageNumber,ObjectNumber,reduced_feature
4,C,112,3,-1.0048964981989228
4,C,112,4,-1.4218940786993144
4,C,112,5,-1.4708028123942003
4,C,112,6,-1.6250644500028164
4,C,112,7,-2.1316681063078993
4,C,112,8,-1.6623552658416627
4,C,112,9,-2.092504145734182
4,C,112,10,-1.955770364433842
4,C,113,1,-0.6905990391512371
4,C,113,2,-3.10781970459043
4,C,114,1,-1.2980142043401286
4,C,114,2,-1.767023480072287
4,C,114,3,-2.4230022717369906
4,C,114,4,-2.1164784075959524
4,C,114,5,-1.723462460762258
4,C,114,6,-2.2678039286137675
4,C,115,1,-1.6416456236629198
4,C,115,2,-1.77670602246915
4,C,115,3,-1.5939404423897297
4,C,115,4,-0.41020434061114863
4,C,115,5,-1.2474880646773003
4,C,115,6,-1.7030510679228452
4,C,115,7,-1.7959809917415284
4,C,115,8,-1.7848698867654023
6,C,116,1,-2.9381340077789124
6,C,116,2,-2.9093949815880906
6,C,116,3,-3.0975833973743008
6,C,116,4,-1.7985055774928027
6,C,116,5,-2.760435778523455
6,C,116,6,-2.6021583142537525
6,C,116,7,-2.5290454671511906
6,C,117,1,-2.9393267253135624
6,C,118,1,-2.2160499175785646
6,C,118,2,-2.4547443346674127
6,C,118,3,-2.0009632255454544
6,C,119,1,-3.5180728576164397
6,C,119,2,-2.3600163794520297
6,C,119,3,-2.499545301468
6,C,119,4,-2.1849091421892575
6,C,120,1,-2.8744625995412503
6,C,120,2,-1.5503254667454252
6,C,120,3,-1.3413938754880805
6,C,120,4,-2.6543835035538983
6,C,120,5,-2.3421013181381634
6,C,120,6,-1.9104146269394284
6,C,120,7,-3.476946707386413
6,C,121,1,-2.027310358022972
6,C,121,2,-2.5365883365137334
6,C,121,3,-2.904583502386634
6,C,121,4,-2.4827971470446784
6,C,121,5,-2.7203218812874566
6,C,121,6,-2.048140520216594
6,C,121,7,-2.8254792017159196
6,C,121,8,-1.8243753894101793
6,C,121,9,-1.841215599194204
6,C,121,10,-1.6361343677253948
6,C,121,11,-2.3038835817235537
6,C,122,1,-3.2302535181059975
6,C,122,2,-2.7480964204594915
6,C,122,3,-2.387200290442233
6,C,122,4,-2.514417149319094
6,C,122,5,-1.8507918629441518
6,C,122,6,-3.2451792936685204
6,C,123,1,-3.0672139056875256
6,C,123,2,-2.776018297716728
6,C,124,1,-3.676786887508642
6,C,124,2,-3.681124769161317
6,C,125,1,-4.294338911059429
6,C,125,2,-2.5329408129524364
14,A,1,1,2.0261471473530612
14,A,1,2,3.8769456683441446
14,A,1,3,3.758549374550454
14,A,1,4,2.8566572114346456
14,A,1,5,3.420206903795085
14,A,1,6,1.9166207983503394
14,A,2,1,4.849304954613043
14,A,2,2,3.461549970909655
14,A,2,3,4.0915746077532456
14,A,2,4,4.355297009286307
14,A,3,1,3.6979626409306214
14,A,3,2,2.7749179099431434
14,A,3,3,3.7576212705903416
14,A,3,4,4.089632758990208
14,A,3,5,4.674916744778683
14,A,3,6,4.361401330006225
14,A,3,7,3.4861658008120764
14,A,3,8,4.537799883374893
14,A,3,9,3.807939070487782
14,A,4,1,3.673104210814057
14,A,4,2,3.1834145850358317
14,A,4,3,2.74061176251593
14,A,4,4,2.753801772372148
14,A,4,5,1.5895766200535049
14,A,5,1,3.218720155789845
14,A,5,2,3.587312350219448
14,A,5,3,3.111007103360592
14,A,5,4,3.612765137602802
14,A,5,5,4.098549201443468
14,A,5,6,5.802788167548151
14,A,5,7,4.704608957574431
14,A,5,8,5.104041941257128
14,A,5,9,4.107033174607319
14,A,5,10,2.3627449998962216
14,A,5,11,3.1806029150077624
14,A,6,1,4.3548957780128115
14,A,6,2,2.1561440144142066
14,A,6,3,5.129239112532534
14,A,6,4,5.566299290878566
14,A,6,5,2.286439648542215
14,A,6,6,3.5550734347706388
14,A,6,7,3.311176597338332
14,A,6,8,3.0958908000536036
14,A,7,1,3.7462407814425362
14,A,7,2,4.112275160969031
14,A,7,3,1.8829799573679025
14,A,7,4,4.360145539473724
14,A,7,5,2.1682034406948545
14,A,7,6,5.261390359944186
14,A,7,7,3.7754628594666135
14,A,8,1,4.660063688184795
14,A,8,2,3.85730086284197
14,A,8,3,4.783096825199825
14,A,8,4,4.5621493288291655
14,A,8,5,3.93268623811447
14,A,8,6,3.882565191279979
14,A,8,7,2.219051929573519
14,A,9,1,3.28121020527577
14,A,9,2,3.344055813346832
14,A,9,3,4.059425700425018
14,A,9,4,3.2346824201583155
14,A,9,5,4.543999990759683
14,A,9,6,5.311393839938312
14,A,9,7,4.506774339363837
14,A,9,8,5.117950946202282
14,A,10,1,3.3940327091211926
14,A,10,2,1.094323539003397
14,A,10,3,2.584998887104241
14,A,10,4,2.5694456062944564
14,A,10,5,4.163282383084311
14,A,10,6,1.9196947049557913
14,A,10,7,3.67736019156768
2,A,11,1,1.212335489487258
2,A,11,2,-0.57146945542625
2,A,11,3,-0.6012498586154029
2,A,11,4,-0.028168925167790213
2,A,11,5,0.47410756017664096
2,A,11,6,-0.1516388741727071
2,A,11,7,1.0392348823843032
2,A,12,1,0.8624989956154222
2,A,12,2,0.8144212531104993
2,A,12,3,0.024181617555947492
2,A,12,4,0.10484171899992377
2,A,12,5,1.2355480638748004
2,A,12,6,0.7545292713522523
2,A,12,7,1.1418537198651675
2,A,12,8,1.1398087014578815
2,A,12,9,0.5889298502773324
2,A,13,1,0.377960938581168
2,A,13,2,0.321273758850022
2,A,13,3,0.9925953614090396
2,A,13,4,-1.5631083029034187
2,A,13,5,0.6349576140445123
2,A,13,6,0.8641555101592107
2,A,13,7,0.7752655515393563
2,A,14,1,-0.4856375022522284
2,A,14,2,0.8310595391682611
2,A,14,3,-1.3256696552626854
2,A,14,4,-0.8434284667983749
2,A,14,5,0.48586650654844415
2,A,14,6,-0.15142409846622662
2,A,15,1,0.7688488755886194
2,A,15,2,0.3543745753442515
2,A,15,3,-0.5758560851080243
2,A,15,4,-0.6835072315718027
2,A,15,5,0.1628898942493338
2,A,16,1,-0.9412232239837165
2,A,16,2,-0.5880340267867095
2,A,16,3,0.1050836697573824
2,A,16,4,-0.8560375613430935
2,A,17,1,-0.6982120798430124
2,A,17,2,-0.045919144123909635
2,A,17,3,0.10763483075346268
2,A,17,4,0.6808570802704551
2,A,18,1,0.4535666503127165
2,A,18,2,0.645254190157195
2,A,18,3,0.8638251295726548
2,A,18,4,1.2968564070353057
2,A,18,5,1.5617005885524156
2,A,19,1,0.019645145787899786
2,A,19,2,1.8615311710369653
2,A,19,3,0.9608532669767631
2,A,19,4,-0.8002303381767905
2,A,19,5,-1.5285683667693362
2,A,19,6,-0.37720551993336954
2,A,19,7,-0.0200973310688971
2,A,19,8,-0.7649427870261126
2,A,19,9,0.8376632253402768
2,A,20,1,0.7604381901934631
2,A,20,2,0.2665177495510079
2,A,20,3,0.2776399614035995
2,A,20,4,-1.1782900395724032
2,A,20,5,0.9261286343197305
2,A,20,6,1.2777007512779734
2,A,20,7,0.9691063271249615
2,A,20,8,-0.781325025727466
2,A,20,9,1.449078277479463
4,A,21,1,1.6747918621156264
4,A,21,2,1.8102847724778877
4,A,21,3,0.88880414498793
4,A,21,4,1.2730067595570838
4,A,22,1,0.29221853815834253
4,A,22,2,1.2073730054301648
4,A,22,3,1.6225187572972668
4,A,22,4,0.1532381764385573
4,A,22,5,1.873866493210401
4,A,22,6,1.2361779504290442
4,A,22,7,1.2457005061021167
4,A,22,8,1.4863484828450384
4,A,23,1,1.4118721235854363
4,A,23,2,0.487142146077523
4,A,23,3,1.5563771213194844
4,A,23,4,0.9777480330722237
4,A,24,1,1.1408530564928396
4,A,24,2,1.1712830247122001
4,A,24,3,0.22579744351084896
4,A,24,4,1.214707209937881
4,A,24,5,1.2572128923491481
4,A,25,1,1.5831782621554946
4,A,25,2,1.8092307578779832
4,A,25,3,-1.0789134109733787
4,A,25,4,1.5924441588954525
4,A,25,5,0.24820269864287547
4,A,25,6,1.227733549542786
4,A,25,7,0.8797741701302292
4,A,25,8,-0.04913405022524205
4,A,25,9,0.730688152625924
4,A,25,10,1.3811136199673353
4,A,26,1,-0.8935646428200278
4,A,26,2,-0.2886753443267025
4,A,26,3,1.2343055252364135
4,A,26,4,-0.9625133736756097
4,A,26,5,1.8567932853974094
4,A,26,6,1.5316455440069665
4,A,26,7,0.789956938797439
4,A,27,1,0.7464231532453637
4,A,27,2,1.2765074194627053
4,A,27,3,1.7922407374421105
4,A,27,4,0.1513267372868922
4,A,27,5,0.4381749220536681
4,A,27,6,1.9126659255767677
4,A,27,7,0.20366219970182223
4,A,27,8,1.4733615664750184
4,A,27,9,1.5273686226951393
4,A,28,1,1.3131728748619995
4,A,28,2,-0.07736317041845958
4,A,28,3,1.4586855001201091
4,A,28,4,1.1277564225614318
4,A,28,5,0.9857657258618993
4,A,29,1,-0.12533433689928974
4,A,29,2,1.061869728444401
4,A,29,3,-0.0967337383611985
4,A,29,4,0.4809145034652989
4,A,29,5,1.2753900662659905
4,A,29,6,-0.04277362011761301
4,A,29,7,-0.105819512719633
4,A,30,1,0.5538836900910148
4,A,30,2,1.210184066797639
4,A,30,3,1.6062289283047189
4,A,30,4,0.8238388289496842
6,A,31,1,-0.007621762098494894
6,A,31,2,0.31808182550585057
6,A,31,3,-0.5394344793395265
6,A,31,4,1.2435570231585864
6,A,31,5,0.8942705403321549
6,A,31,6,1.056603931300433
6,A,31,7,1.4284038630467246
6,A,31,8,1.7259743653208017
6,A,32,1,-0.21153325527206832
6,A,32,2,0.6781967582596379
6,A,32,3,0.7143338831055499
6,A,32,4,-0.10577123507898939
6,A,33,1,0.9642720761669142
6,A,33,2,0.6625727559176191
6,A,33,3,1.0548317079454435
6,A,33,4,0.31758953569364745
6,A,34,1,-0.00751126294649345
