ImageNumber,ObjectNumber,Metadata_hour,Metadata_treatment,Texture_AngularSecondMoment_ED_10_00_256,Texture_AngularSecondMoment_ED_10_01_256,Texture_AngularSecondMoment_ED_10_02_256,Texture_AngularSecondMoment_ED_10_03_256,Texture_Contrast_ED_10_00_256,Texture_Contrast_ED_10_01_256,Texture_Contrast_ED_10_02_256,Texture_Contrast_ED_10_03_256,Texture_Correlation_ED_10_00_256,Texture_Correlation_ED_10_01_256,Texture_Correlation_ED_10_02_256,Texture_Correlation_ED_10_03_256,Texture_DifferenceEntropy_ED_10_00_256,Texture_DifferenceEntropy_ED_10_01_256,Texture_DifferenceEntropy_ED_10_02_256,Texture_DifferenceEntropy_ED_10_03_256,Texture_DifferenceVariance_ED_10_00_256,Texture_DifferenceVariance_ED_10_01_256,Texture_DifferenceVariance_ED_10_02_256,Texture_DifferenceVariance_ED_10_03_256,Texture_Entropy_ED_10_00_256,Texture_Entropy_ED_10_01_256,Texture_Entropy_ED_10_02_256,Texture_Entropy_ED_10_03_256,Texture_InfoMeas1_ED_10_00_256,Texture_InfoMeas1_ED_10_01_256,Texture_InfoMeas1_ED_10_02_256,Texture_InfoMeas1_ED_10_03_256,Texture_InfoMeas2_ED_10_00_256,Texture_InfoMeas2_ED_10_01_256,Texture_InfoMeas2_ED_10_02_256,Texture_InfoMeas2_ED_10_03_256,Texture_InverseDifferenceMoment_ED_10_00_256,Texture_InverseDifferenceMoment_ED_10_01_256,Texture_InverseDifferenceMoment_ED_10_02_256,Texture_InverseDifferenceMoment_ED_10_03_256,Texture_SumAverage_ED_10_00_256,Texture_SumAverage_ED_10_01_256,Texture_SumAverage_ED_10_02_256,Texture_SumAverage_ED_10_03_256,Texture_SumEntropy_ED_10_00_256,Texture_SumEntropy_ED_10_01_256,Texture_SumEntropy_ED_10_02_256,Texture_SumEntropy_ED_10_03_256,Texture_SumVariance_ED_10_00_256,Texture_SumVariance_ED_10_01_256,Texture_SumVariance_ED_10_02_256,Texture_SumVariance_ED_10_03_256,Texture_Variance_ED_10_00_256,Texture_Variance_ED_10_01_256,Texture_Variance_ED_10_02_256,Texture_Variance_ED_10_03_256
3,1,14,A,0.000348446,0.000352319,0.000344098,0.000350031,542.2489807,533.4481476,543.647846,543.6265595,0.062700049,0.061615993,0.071075636,0.050725164,5.58695469,5.581533701,5.589833019,5.595901014,0.000136546,0.00013524,0.000135655,0.000132812,11.94811909,11.92511924,11.96399132,11.93239976,-0.042513413,-0.042773641,-0.042810611,-0.042969743,0.636299512,0.63734542,0.638350156,0.638628897,0.057768649,0.058440465,0.059589472,0.056489236,84.93103448,84.90058647,84.79169796,84.81821386,6.660590606,6.649961008,6.67596231,6.642938536,614.7957413,603.50249,626.8410917,601.7246898,289.2611805,284.2376594,292.6222344,286.3378123
3,2,14,A,0.000190998,0.000191706,0.000191488,0.000191134,1072.828454,1102.947524,1067.303464,1090.542976,0.179223714,0.169556492,0.194080791,0.177598844,6.08204008,6.099505327,6.076233062,6.090846179,6.82E-05,6.71E-05,6.88E-05,6.81E-05,12.63061405,12.62648076,12.63187617,12.62289749,-0.114560362,-0.118598076,-0.116811053,-0.118719422,0.885731227,0.892443809,0.889575166,0.892589592,0.039021374,0.037159835,0.03887914,0.034840078,145.2695721,144.7134613,145.0491997,144.8969917,7.312799036,7.315051782,7.330684503,7.319730838,1541.351493,1553.337973,1581.357721,1561.551973,653.5449868,664.0713743,662.1652962,663.0237373
3,3,14,A,0.000309211,0.000315276,0.000306515,0.000310237,595.63815,600.1053107,604.9396586,602.4239692,0.140391365,0.124791082,0.130241595,0.116410226,5.655546556,5.658442822,5.664990426,5.666668769,0.000122581,0.000123165,0.000122077,0.000120011,12.14667204,12.12175259,12.15126904,12.12882431,-0.052999055,-0.054208263,-0.052761534,-0.052232545,0.695566574,0.700749573,0.694527318,0.691534139,0.056729483,0.058996912,0.055244567,0.05486748,106.2384708,106.6066314,106.3846257,106.1329249,6.83504324,6.817631952,6.832395763,6.808163076,790.1975094,771.2365444,786.1125119,761.1589676,346.4589149,342.8354638,347.7630426,340.8957342
3,4,14,A,0.00019518,0.00019549,0.00019334,0.000193502,1146.050244,1165.2015,1147.454001,1186.914347,0.102495751,0.083864909,0.091737497,0.075440087,6.129401251,6.133972577,6.128867602,6.155032308,6.39E-05,6.38E-05,6.34E-05,6.16E-05,12.58507833,12.57638718,12.60044748,12.59609521,-0.117051861,-0.117252415,-0.11286967,-0.116302835,0.889294852,0.889502239,0.882318719,0.888198956,0.038005186,0.035437617,0.037259192,0.034628145,133.6815073,133.1464013,133.4378311,133.2962697,7.246096501,7.230084428,7.237136777,7.23359842,1407.810077,1378.53143,1379.24725,1380.608494,638.4650802,635.9332325,631.6753127,641.8807103
3,5,14,A,0.00020251,0.000203852,0.000202964,0.000201542,942.261222,968.6252634,981.1140932,991.949005,0.195491748,0.179763639,0.170933584,0.165113347,5.990388196,6.009144788,6.016277863,6.024947047,7.48E-05,7.44E-05,7.34E-05,7.16E-05,12.5619333,12.56166263,12.56981528,12.5649941,-0.103910908,-0.105630891,-0.104664849,-0.106039576,0.864655726,0.868114021,0.866310136,0.868976085,0.039258434,0.041582597,0.039548707,0.038529344,136.2958258,135.9114913,136.2949813,136.4335821,7.245711784,7.237408821,7.234847525,7.231933753,1400.191374,1393.194596,1385.678421,1384.29932,585.613149,590.4549648,591.6981286,594.0620812
3,6,14,A,0.000241563,0.000247478,0.000241979,0.000245878,1032.169383,1048.712224,1040.862724,1073.623368,0.157413618,0.129303913,0.140269126,0.117608281,6.043940079,6.06132771,6.050608933,6.074725463,7.20E-05,7.15E-05,7.12E-05,6.96E-05,12.23678908,12.21134278,12.2379557,12.21672011,-0.154509186,-0.156165138,-0.152661372,-0.1564488,0.933346151,0.934678968,0.931502061,0.935015328,0.037098534,0.040582787,0.034417129,0.037732682,109.6949339,109.2864231,109.6609109,109.2037371,7.239260511,7.20719229,7.223592273,7.209125541,1417.833146,1360.193108,1380.505998,1359.815988,612.5006324,602.226333,605.3421806,608.3598389
3,7,14,A,0.000333947,0.000338268,0.000334484,0.000340224,557.5452512,562.0298365,574.650954,562.2889459,0.1253119,0.099591949,0.092591422,0.096077447,5.601116724,5.607043869,5.62576361,5.607912651,0.00011652,0.000115409,0.000113251,0.000115211,12.12245682,12.10326667,12.11741528,12.08929093,-0.033893253,-0.032106342,-0.033213515,-0.033711676,0.584471057,0.571203843,0.579532062,0.582541269,0.058279813,0.059463817,0.059294259,0.059571708,98.74616073,98.653614,98.7330604,98.6607594,6.757758522,6.728697546,6.731663719,6.723430441,717.298321,686.359349,691.9250248,681.8197317,318.710893,312.0972964,316.6439947,311.0271694
3,8,14,A,0.000186338,0.000192236,0.000189434,0.000189935,1081.769488,1078.104943,1086.64988,1075.938496,0.128258243,0.129503263,0.116434269,0.118750826,6.086784108,6.084073658,6.088842275,6.082940046,6.53E-05,6.46E-05,6.51E-05,6.50E-05,12.66486812,12.62704299,12.63880187,12.6302358,-0.092784958,-0.097508244,-0.094360017,-0.094664999,0.841648628,0.852011033,0.844966078,0.845539581,0.038774083,0.037201078,0.037137063,0.037722945,106.9207058,106.5917077,106.7419023,106.4852486,7.240085602,7.238868173,7.227602529,7.223090956,1400.088195,1398.882958,1373.042347,1365.910025,620.464421,619.2469751,614.9230568,610.4621303
3,9,14,A,0.000210626,0.000212693,0.000209851,0.000212179,757.2449287,783.6825356,778.775385,780.1934723,0.248821699,0.21955174,0.226828153,0.215801558,5.834572715,5.858147942,5.856166502,5.856612027,8.98E-05,8.74E-05,8.67E-05,8.73E-05,12.62044587,12.60956466,12.62518338,12.61124178,-0.064384726,-0.06500796,-0.063203825,-0.062853748,0.753733029,0.755918622,0.749217252,0.747566456,0.04715482,0.046619221,0.045719341,0.046791737,134.0077247,133.7624791,134.0108927,133.8502582,7.177199554,7.158819643,7.162104332,7.148539156,1258.90737,1224.605717,1235.719551,1209.592354,504.0380746,502.072063,503.623734,497.4464566
4,1,14,A,0.000215438,0.000216736,0.000216017,0.000221494,1197.692213,1300.158379,1230.439024,1287.494863,0.196793917,0.124981071,0.172927925,0.139054911,6.147677337,6.210732084,6.169097497,6.204687801,6.18E-05,5.76E-05,6.01E-05,5.77E-05,12.41054911,12.39655072,12.40768549,12.37324292,-0.172103851,-0.173633058,-0.171743533,-0.177116628,0.950464964,0.951474716,0.950164648,0.953773539,0.032015298,0.032335607,0.031677287,0.034270466,159.1083642,157.6920184,158.8743902,158.5540984,7.396720895,7.34038818,7.366567153,7.362885972,1784.586527,1671.567914,1744.970401,1703.392429,745.5696848,742.9315731,743.8523564,747.721823
4,2,14,A,0.000194101,0.000193965,0.000193773,0.000193639,906.3698604,911.5648083,911.8805499,944.8824882,0.184085933,0.185054161,0.175215197,0.149527658,5.96657205,5.967837183,5.971680604,5.996068108,7.52E-05,7.50E-05,7.46E-05,7.28E-05,12.72239057,12.7174778,12.72416633,12.72576813,-0.067926795,-0.069569935,-0.066543827,-0.067640357,0.768907208,0.774686669,0.76386826,0.767929797,0.039930026,0.039173836,0.042875967,0.040714174,190.1928883,189.6163989,190.1963925,190.0874952,7.178984568,7.180098214,7.173512904,7.161984758,1315.358866,1325.552716,1299.315744,1277.135658,555.4321815,559.279381,552.7990734,555.5045365
4,3,14,A,0.000257066,0.000256946,0.00025501,0.000255636,625.055368,657.2185253,660.6602142,700.3262764,0.207037116,0.160456016,0.158460704,0.096720495,5.694077725,5.731685696,5.737577847,5.780147843,0.000108725,0.000104797,0.000103195,9.91E-05,12.42128022,12.42106563,12.42710551,12.42262132,-0.041192077,-0.039485564,-0.039190926,-0.037071085,0.637899139,0.627431181,0.625702394,0.611970849,0.054149232,0.052608131,0.051325375,0.051196993,145.2646289,145.1307576,145.4158442,145.4883156,6.976523934,6.942409274,6.941339592,6.895916507,951.4506208,908.4374444,909.4630527,850.3040051,394.1264972,391.4139924,392.5308167,387.6575704
4,4,14,A,0.000201876,0.000201722,0.000200288,0.000198602,813.2009974,844.2910849,848.0682124,864.2830778,0.279145517,0.241956282,0.246619145,0.229615448,5.881091671,5.910862825,5.907749767,5.929336573,8.39E-05,8.11E-05,8.22E-05,7.94E-05,12.72345877,12.71167566,12.73366331,12.73633563,-0.067815153,-0.066334905,-0.065558255,-0.064452973,0.768522216,0.76285667,0.760356913,0.756193063,0.047306514,0.04701218,0.047266166,0.044983453,164.6204752,164.5774205,164.6335616,164.532368,7.246506583,7.213298535,7.224785474,7.20644621,1443.013027,1383.261401,1403.298296,1379.487453,564.0535061,556.8881216,562.8416272,560.9426327
4,5,14,A,0.5,0.125,0.166666667,0.5,3364,446.25,603,225,-1,0.30783772,-0.162970106,-1,0,2,1.584962501,0,0.00980296,0.002377218,0.0032023,0.00980296,1,3,2.584962501,1,-1,-1,-0.557885891,-1,0.929873495,0.998759855,0.929873495,0.929873495,0.000297177,0.026201557,0.0425312,0.004424779,78,64.25,81,93,0,2,1.584962501,0,0,843.1875,434,0,841,322.359375,259.25,56.25
5,1,14,A,0.000197374,0.000198142,0.000195319,0.000197291,941.040851,939.545657,949.1509388,944.0322906,0.021324686,0.023176648,0.015022199,0.020143217,5.994694134,5.992941742,5.999347517,5.994498141,7.91E-05,7.91E-05,7.83E-05,7.88E-05,12.64777411,12.64135416,12.65886245,12.64233375,-0.048413667,-0.049441052,-0.047162969,-0.049623557,0.682702875,0.687860698,0.676339819,0.688806943,0.041866279,0.04183124,0.039541551,0.037297853,108.491848,108.4757486,108.3733495,108.51646,7.001073204,7.005595006,6.999545439,7.002716553,982.0501639,984.1300107,978.1025242,982.8458139,480.7727537,480.9189169,481.8133657,481.7195261
5,2,14,A,0.000200027,0.000203123,0.000198825,0.000199198,1050.333633,1081.713685,1051.613423,1085.851541,0.135435779,0.123516089,0.141123676,0.116867026,6.065928084,6.08937883,6.068049248,6.088630074,6.77E-05,6.66E-05,6.72E-05,6.62E-05,12.56880268,12.55302354,12.57157735,12.57329138,-0.110038117,-0.115121562,-0.111412935,-0.111392844,0.876693633,0.885548652,0.879263354,0.879252894,0.038466069,0.037347946,0.038561845,0.037912185,181.3396589,180.9822532,181.2048177,180.912,7.222487649,7.230008853,7.23874229,7.22328813,1379.407519,1386.588748,1397.198807,1373.238026,607.435288,617.0756081,612.2030574,614.7723919
5,3,14,A,0.017241379,0.027700831,0.016666667,0.015625,763.6896552,916.5263158,1185.9,883.53125,0.047814391,0.171845355,-0.172314825,-0.027516517,4.211260736,3.681880803,4.548394346,4.625,0.000424931,0.000660902,0.000325809,0.000294203,5.857980995,5.195295934,5.906890596,6,-0.859811895,-0.868008451,-0.818165341,-0.87221432,0.999927221,0.99982671,0.999859678,0.999953393,0.025445974,0.109187191,0.012974095,0.03395537,79.48275862,105.0526316,91.7,90.90625,4.651084443,4.037401198,4.706890596,4.476409766,840.3876338,1296.891967,837.2766667,836.2099609,401.0193222,553.3545706,505.7941667,429.9353027
5,4,14,A,0.000286986,0.000292387,0.000287893,0.000291115,551.5689595,538.9917651,550.612172,553.7567419,0.189677907,0.193558911,0.188305164,0.170940249,5.60660457,5.588720263,5.603629982,5.612079288,0.000109401,0.000110935,0.000110119,0.000108206,12.25001876,12.21565518,12.24136002,12.23266334,-0.037042936,-0.038449127,-0.037696109,-0.035531908,0.608433853,0.616869473,0.612531893,0.597979142,0.058670048,0.057738892,0.057432155,0.058365835,193.8544979,194.2170506,194.2129711,193.6776899,6.864882098,6.855816585,6.863731388,6.840061881,809.7883676,797.7252565,806.0853153,782.1101629,340.3393318,334.1792554,339.1743718,333.9667262
